授業科目名,担当教員,役職,単位数,必修・選択・自由,開講年次,開講学期,実務経験,備考,シラバスURL
American CultureⅠ,ゴーマン マイケル,教授,2,選択,Second year and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A2902.html
American CultureⅡ,ゴーマン マイケル,教授,2,選択,Second year and above,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A3002.html
American Literature and CultureⅠ,ゴーマン マイケル,教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51351901.html
American Literature and CultureⅡ,ゴーマン マイケル,教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51352001.html
Communication in EnglishⅠ,Marc Williams,非常勤講師,1,選択,3rd year students and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B3102.html
Communication in EnglishⅡ,Marc Williams,非常勤講師,1,選択,3rd year students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B3202.html
Contemporary Political Issues,秦野 貴光,講師,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C4801.html
Cross-cultural Language and Communication Ⅰ,カーソン ルーク,教授,2,選択,2nd year students and above,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B1601.html
Cross-cultural Language and Communication Ⅱ,カーソン ルーク,教授,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114B1701.html
Cross-cultural Psychology and CommunicationⅠ,カーソン ルーク,教授,2,選択,Graduate Students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51352301.html
Cross-cultural Psychology and CommunicationⅡ,カーソン ルーク,教授,2,選択,Graduate Students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51352401.html
East Asian Cultures and Societies,飯島 典子,准教授,2,選択,2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A6601.html
Exploring Japanese Society,湯浅 正恵,教授,2,選択,Exchange students and 3rd year students and above (a TOEIC score of at least 600 is required).,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A7101.html
Future StudiesⅠ,カーソン ルーク,教授,2,選択,Students with Advanced English ability. 2nd year students and above and exchange students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A6801.html
Future StudiesⅡ,カーソン ルーク,教授,2,選択,Students with Advanced English ability. 3rd year students and above and exchange students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A6901.html
Hiroshima and Atomic Bombing in Media,井上 泰浩,教授,2,選択,Any exchange students. Second year or above in International Studies.,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A6701.html
History of Japanese Politics and Diplomacy,武田 悠,准教授,2,選択,"2nd year students and above, and exchange students",後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C5801.html
International Business,アリフ アザム ヌルハイザル,准教授,2,選択,2nd year and above and exchange students,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E2701.html
